source,target,value
restrugir,aparvoar,1.0
restrugir,arvoar,1.0
restrugir,atontar,1.0
restrugir,atontear,1.0
restrugir,atordoar,1.0
restrugir,atroar,1.0
restrugir,aturdir,1.0
restrugir,azamboar,1.0
restrugir,azoratar,1.0
restrugir,azoretar,1.0
restrugir,azuretar,1.0
restrugir,desarvorar,1.0
restrugir,desatremar,1.0
restrugir,desconcertar,1.0
restrugir,desnortear,1.0
restrugir,desorientar,1.0
restrugir,entontecer,1.0
restrugir,enzonzar,1.0
restrugir,estontear,1.0
restrugir,estontecer,1.0
restrugir,perturbar,1.0
restrugir,tontear,1.0
restrugir,transtornar,1.0
restrugir,zonzar,1.0
restrugir,Rebeubéu,1.0
