source,target,value
resvaladiço,corriento,1.0
resvaladiço,derrapante,1.0
resvaladiço,escorregadiço,1.0
resvaladiço,escorregadio,1.0
resvaladiço,escorregável,1.0
resvaladiço,liso,1.0
resvaladiço,resvaladio,1.0
resvaladiço,untuoso,1.0
resvaladiço,escorregadouro,1.0
resvaladiço,resvaladeiro,1.0
resvaladiço,resvaladio,1.0
resvaladiço,resvaladoiro,1.0
resvaladiço,resvaladouro,1.0
resvaladiço,alcantil,1.0
resvaladiço,barranco,1.0
resvaladiço,despenhadeiro,1.0
resvaladiço,esbarrondadeiro,1.0
resvaladiço,escarpa,1.0
resvaladiço,precipício,1.0
resvaladiço,resvaladeiro,1.0
resvaladiço,resvaladio,1.0
resvaladiço,resvaladoiro,1.0
resvaladiço,resvaladouro,1.0
