source,target,value
retardamento,demora,1.0
retardamento,impontualidade,1.0
retardamento,retardação,1.0
retardamento,retarde,1.0
retardamento,pontualidade,1.0
retardamento,precisão,1.0
retardamento,rigor,1.0
retardamento,rigorismo,1.0
retardamento,rigorosidade,1.0
retardamento,aceleração,1.0
retardamento,antecipação,1.0
retardamento,precipitação,1.0
retardamento,postergação,1.0
retardamento,procrastinação,1.0
retardamento,prolação,1.0
retardamento,protelação,1.0
retardamento,protraimento,1.0
retardamento,remissão,1.0
retardamento,retardação,1.0
retardamento,antecipação,1.0
