source,target,value
retardar,delongar,1.0
retardar,demorar,1.0
retardar,entravar,1.0
retardar,lerdear,1.0
retardar,pausar,1.0
retardar,remorar,1.0
retardar,retrasar,1.0
retardar,adiantar,1.0
retardar,apressar,1.0
retardar,estugar,1.0
retardar,picar,1.0
retardar,precipitar,1.0
retardar,atrasar,1.0
retardar,delongar,1.0
retardar,diferir,1.0
retardar,espaçar,1.0
retardar,espacejar,1.0
retardar,guardar,1.0
retardar,procrastinar,1.0
retardar,prorrogar,1.0
retardar,protelar,1.0
retardar,protrair,1.0
retardar,remeter,1.0
retardar,retrasar,1.0
retardar,tardar,1.0
retardar,temporizar,1.0
retardar,delongar,1.0
retardar,demorar,1.0
retardar,entravar,1.0
retardar,lerdear,1.0
retardar,pausar,1.0
retardar,remorar,1.0
retardar,retrasar,1.0
retardar,tardar,1.0
