source,target,value
retrogradar,recuar,1.0
retrogradar,refugir,1.0
retrogradar,retrair,1.0
retrogradar,retrasar,1.0
retrogradar,retroceder,1.0
retrogradar,retrosseguir,1.0
retrogradar,andar,1.0
retrogradar,avançar,1.0
retrogradar,caminhar,1.0
retrogradar,evoluir,1.0
retrogradar,ir,1.0
retrogradar,marchar,1.0
retrogradar,progredir,1.0
retrogradar,desandar,1.0
retrogradar,regredir,1.0
retrogradar,retroceder,1.0
retrogradar,aumentar,1.0
retrogradar,crescer,1.0
retrogradar,desenvolver-se,1.0
retrogradar,expandir-se,1.0
retrogradar,medrar,1.0
retrogradar,melhorar,1.0
retrogradar,progredir,1.0
retrogradar,prosperar,1.0
