source,target,value
revolucionar,convulsionar,1.0
revolucionar,transfazer,1.0
revolucionar,transformar,1.0
revolucionar,agitar,1.0
revolucionar,alborotar,1.0
revolucionar,alevantar,1.0
revolucionar,alvoroçar,1.0
revolucionar,alvorotar,1.0
revolucionar,amotinar,1.0
revolucionar,atumultar,1.0
revolucionar,atumultuar,1.0
revolucionar,conturbar,1.0
revolucionar,convulsar,1.0
revolucionar,convulsionar,1.0
revolucionar,faccionar,1.0
revolucionar,facionar,1.0
revolucionar,indisciplinar,1.0
revolucionar,insubordinar,1.0
revolucionar,insurgir,1.0
revolucionar,insurrecionar,1.0
revolucionar,levantar,1.0
revolucionar,motinar,1.0
revolucionar,rebelar,1.0
revolucionar,rebelionar,1.0
revolucionar,revoltar,1.0
revolucionar,sublevar,1.0
revolucionar,subverter,1.0
revolucionar,disciplinar,1.0
revolucionar,agitar,1.0
revolucionar,alterar,1.0
revolucionar,azougar,1.0
revolucionar,desassossegar,1.0
revolucionar,desquietar,1.0
revolucionar,dessossegar,1.0
revolucionar,exagitar,1.0
revolucionar,excitar,1.0
revolucionar,fermentar,1.0
revolucionar,inquietar,1.0
revolucionar,perturbar,1.0
revolucionar,preocupar,1.0
revolucionar,acalentar,1.0
revolucionar,acalmar,1.0
revolucionar,achanar,1.0
revolucionar,amansar,1.0
revolucionar,apacificar,1.0
revolucionar,apaziguar,1.0
revolucionar,calmar,1.0
revolucionar,contentar,1.0
revolucionar,descansar,1.0
revolucionar,pacificar,1.0
revolucionar,paziguar,1.0
revolucionar,repoisar,1.0
revolucionar,repousar,1.0
revolucionar,sossegar,1.0
revolucionar,tranqüilizar,1.0
