source,target,value
ronceiro,tardio,1.0
ronceiro,tardo,1.0
ronceiro,tardonho,1.0
ronceiro,alígero,1.0
ronceiro,célere,1.0
ronceiro,ligeiro,1.0
ronceiro,rápido,1.0
ronceiro,veloz,1.0
ronceiro,flegmático,1.0
ronceiro,fleumático,1.0
ronceiro,lerdeador,1.0
ronceiro,mole,1.0
ronceiro,pachorrento,1.0
ronceiro,vagaroso,1.0
ronceiro,amarasmado,1.0
ronceiro,amarasmeado,1.0
ronceiro,bambalhão,1.0
ronceiro,engrunhido,1.0
ronceiro,ignavo,1.0
ronceiro,indolente,1.0
ronceiro,letárgico,1.0
ronceiro,madraço,1.0
ronceiro,malandro,1.0
ronceiro,mandrião,1.0
ronceiro,manzanza,1.0
ronceiro,mazanza,1.0
ronceiro,mazorro,1.0
ronceiro,mole,1.0
ronceiro,moleirão,1.0
ronceiro,molenga,1.0
ronceiro,molengão,1.0
ronceiro,molengo,1.0
ronceiro,napeiro,1.0
ronceiro,ocioso,1.0
ronceiro,pachola,1.0
ronceiro,preguicento,1.0
ronceiro,preguiçoso,1.0
ronceiro,sorna,1.0
ronceiro,zopeiro,1.0
ronceiro,zopo,1.0
ronceiro,zorreiro,1.0
