source,target,value
rude,bravio,1.0
rude,bravo,1.0
rude,bruto,1.0
rude,desculto,1.0
rude,inculto,1.0
rude,maninho,1.0
rude,poisio,1.0
rude,pousio,1.0
rude,amanhado,1.0
rude,cultivado,1.0
rude,culto,1.0
rude,lavrado,1.0
rude,achambonado,1.0
rude,achavascado,1.0
rude,chamboado,1.0
rude,chavascado,1.0
rude,chavasco,1.0
rude,chavasqueiro,1.0
rude,grosseiro,1.0
rude,mal-acabado,1.0
rude,malfeito,1.0
rude,rústico,1.0
rude,tosco,1.0
rude,avilanado,1.0
rude,barbárico,1.0
rude,bárbaro,1.0
rude,beluíno,1.0
rude,botocudo,1.0
rude,bravo,1.0
rude,bruto,1.0
rude,grosseiro,1.0
rude,incivilizado,1.0
rude,rústico,1.0
rude,selvagem,1.0
rude,silvático,1.0
rude,asinário,1.0
rude,asinino,1.0
rude,asnal,1.0
rude,asnático,1.0
rude,asneiro,1.0
rude,asnil,1.0
rude,balordo,1.0
rude,beócio,1.0
rude,besta,1.0
rude,boçal,1.0
rude,bordalengo,1.0
rude,bordegão,1.0
rude,boto,1.0
rude,bronco,1.0
rude,burrego,1.0
rude,burro,1.0
rude,calino,1.0
rude,curto,1.0
rude,desengenhoso,1.0
rude,estúpido,1.0
rude,ignorante,1.0
rude,imbecil,1.0
rude,lorpa,1.0
rude,manco,1.0
rude,obtuso,1.0
rude,rombo,1.0
rude,rombudo,1.0
rude,tapado,1.0
