source,target,value
sacado,retirar,1.0
sacado,sacar,1.0
sacado,tirar,1.0
sacado,tomar,1.0
sacado,sacar,1.0
sacado,travar,1.0
sacado,abiscoitar,1.0
sacado,adquirir,1.0
sacado,alcançar,1.0
sacado,angariar,1.0
sacado,arranjar,1.0
sacado,atingir,1.0
sacado,auferir,1.0
sacado,biscoitar,1.0
sacado,biscoutar,1.0
sacado,conseguir,1.0
sacado,granjear,1.0
sacado,haver,1.0
sacado,levar,1.0
sacado,obter,1.0
sacado,pilhar,1.0
sacado,receber,1.0
sacado,sacar,1.0
sacado,ter,1.0
sacado,tirar,1.0
sacado,puxar,1.0
sacado,sacar,1.0
sacado,colocar,1.0
sacado,depor,1.0
sacado,depositar,1.0
sacado,meter,1.0
sacado,pôr,1.0
sacado,postar,1.0
