source,target,value
sagacidade,acuidade,1.0
sagacidade,agudez,1.0
sagacidade,agudeza,1.0
sagacidade,argúcia,1.0
sagacidade,eumatia,1.0
sagacidade,fineza,1.0
sagacidade,finura,1.0
sagacidade,penetração,1.0
sagacidade,perspicácia,1.0
sagacidade,perspicacidade,1.0
sagacidade,prumo,1.0
sagacidade,refinamento,1.0
sagacidade,subtileza,1.0
sagacidade,subtilidade,1.0
sagacidade,sutileza,1.0
sagacidade,sutilidade,1.0
sagacidade,transcendência,1.0
sagacidade,astúcia,1.0
sagacidade,habilidade,1.0
sagacidade,malícia,1.0
sagacidade,manha,1.0
sagacidade,savoir-faire,1.0
sagacidade,tropelia,1.0
