source,target,value
sensato,assissado,1.0
sensato,equilibrado,1.0
sensato,adoidado,1.0
sensato,adoudado,1.0
sensato,aloucado,1.0
sensato,aluado,1.0
sensato,amalucado,1.0
sensato,aveado,1.0
sensato,avenado,1.0
sensato,azoratado,1.0
sensato,biruta,1.0
sensato,desabotinado,1.0
sensato,destrambelhado,1.0
sensato,esbilotado,1.0
sensato,esmaniado,1.0
sensato,estoirado,1.0
sensato,gira,1.0
sensato,leso,1.0
sensato,lunático,1.0
sensato,certeiro,1.0
sensato,assissado,1.0
sensato,equilibrado,1.0
sensato,alheado,1.0
sensato,alheio,1.0
sensato,alienado,1.0
sensato,alienista,1.0
sensato,amente,1.0
sensato,delirado,1.0
sensato,delirante,1.0
sensato,dementado,1.0
sensato,demente,1.0
sensato,desassisado,1.0
sensato,desatinado,1.0
sensato,doido,1.0
sensato,doudo,1.0
sensato,insano,1.0
sensato,louco,1.0
sensato,maluco,1.0
sensato,mentecapto,1.0
sensato,tresloucado,1.0
sensato,pautado,1.0
sensato,regrado,1.0
