source,target,value
seriíssimo,capaz,1.0
seriíssimo,correto,1.0
seriíssimo,decente,1.0
seriíssimo,decoroso,1.0
seriíssimo,digno,1.0
seriíssimo,direito,1.0
seriíssimo,honesto,1.0
seriíssimo,honrado,1.0
seriíssimo,íntegro,1.0
seriíssimo,probo,1.0
seriíssimo,pundonoroso,1.0
seriíssimo,reto,1.0
seriíssimo,desairoso,1.0
seriíssimo,deselegante,1.0
seriíssimo,desonesto,1.0
seriíssimo,desonrado,1.0
seriíssimo,ímprobo,1.0
seriíssimo,indecente,1.0
seriíssimo,indecoroso,1.0
seriíssimo,real,1.0
seriíssimo,sério,1.0
seriíssimo,verdadeiro,1.0
seriíssimo,grave,1.0
seriíssimo,perigoso,1.0
seriíssimo,sério,1.0
seriíssimo,ponderoso,1.0
seriíssimo,sério,1.0
