source,target,value
singelo,desadornado,1.0
singelo,desaparelhado,1.0
singelo,desaprimorado,1.0
singelo,desataviado,1.0
singelo,desenfeitado,1.0
singelo,desguarnecido,1.0
singelo,desornado,1.0
singelo,desparelhado,1.0
singelo,simples,1.0
singelo,adereçado,1.0
singelo,adornado,1.0
singelo,aformoseado,1.0
singelo,agalanado,1.0
singelo,ajaezado,1.0
singelo,alfaiado,1.0
singelo,alindado,1.0
singelo,alinhado,1.0
singelo,amanhado,1.0
singelo,aparado,1.0
singelo,aparamentado,1.0
singelo,arreado,1.0
singelo,ataviado,1.0
singelo,brincado,1.0
singelo,embelezado,1.0
singelo,empavesado,1.0
singelo,empenado,1.0
singelo,enfeitado,1.0
singelo,engalanado,1.0
singelo,engalenado,1.0
singelo,esquipado,1.0
singelo,ornado,1.0
singelo,ornamentado,1.0
singelo,paramentado,1.0
singelo,cândido,1.0
singelo,casto,1.0
singelo,columbino,1.0
singelo,donzel,1.0
singelo,imaculado,1.0
singelo,ingênuo,1.0
singelo,inocente,1.0
singelo,melindroso,1.0
singelo,puro,1.0
singelo,virgem,1.0
singelo,virginal,1.0
singelo,simples,1.0
