source,target,value
sisudo,assissado,1.0
sisudo,desassisado,1.0
sisudo,desbolado,1.0
sisudo,descabeçado,1.0
sisudo,desmiolado,1.0
sisudo,esmiolado,1.0
sisudo,insensato,1.0
sisudo,atilado,1.0
sisudo,atinado,1.0
sisudo,austero,1.0
sisudo,avisado,1.0
sisudo,circunspecto,1.0
sisudo,circunspeto,1.0
sisudo,controlado,1.0
sisudo,cordato,1.0
sisudo,criterioso,1.0
sisudo,discreto,1.0
sisudo,grave,1.0
sisudo,judicioso,1.0
sisudo,maduro,1.0
sisudo,mesurado,1.0
sisudo,ponderado,1.0
sisudo,prudente,1.0
sisudo,recatado,1.0
sisudo,refletido,1.0
sisudo,refletivo,1.0
sisudo,reflexivo,1.0
sisudo,sensato,1.0
sisudo,sério,1.0
