source,target,value
sobrepostos,apor,1.0
sobrepostos,impor,1.0
sobrepostos,justapor,1.0
sobrepostos,montar,1.0
sobrepostos,sobrepor,1.0
sobrepostos,superpor,1.0
sobrepostos,acrescentar,1.0
sobrepostos,acrescer,1.0
sobrepostos,adicionar,1.0
sobrepostos,adir,1.0
sobrepostos,aditar,1.0
sobrepostos,agregar,1.0
sobrepostos,ajuntar,1.0
sobrepostos,aumentar,1.0
sobrepostos,coalescer,1.0
sobrepostos,juntar,1.0
sobrepostos,sobrepor,1.0
sobrepostos,somar,1.0
sobrepostos,superpor,1.0
sobrepostos,temperar,1.0
sobrepostos,antepor,1.0
sobrepostos,maisquerer,1.0
sobrepostos,preferir,1.0
sobrepostos,prepor,1.0
sobrepostos,sobrepor,1.0
sobrepostos,superpor,1.0
sobrepostos,acumular,1.0
sobrepostos,amontoar,1.0
sobrepostos,coacervar,1.0
sobrepostos,conglobar,1.0
sobrepostos,cumular,1.0
sobrepostos,encavalar,1.0
sobrepostos,montear,1.0
sobrepostos,sobrepor,1.0
sobrepostos,superpor,1.0
