source,target,value
solhar,entabuar,1.0
solhar,entabular,1.0
solhar,soalhar,1.0
solhar,assoalhar,1.0
solhar,dar,1.0
solhar,derramar,1.0
solhar,dessegredar,1.0
solhar,difundir,1.0
solhar,dilatar,1.0
solhar,disseminar,1.0
solhar,divulgar,1.0
solhar,espalhar,1.0
solhar,expandir,1.0
solhar,generalizar,1.0
solhar,irradiar,1.0
solhar,noticiar,1.0
solhar,passear,1.0
solhar,popularizar,1.0
solhar,preconizar,1.0
solhar,pregoar,1.0
solhar,proclamar,1.0
solhar,professar,1.0
solhar,promulgar,1.0
solhar,propagar,1.0
solhar,propalar,1.0
solhar,publicar,1.0
solhar,soalhar,1.0
solhar,soprar,1.0
solhar,universalizar,1.0
solhar,veicular,1.0
solhar,vulgar,1.0
solhar,vulgarizar,1.0
solhar,segredar,1.0
