source,target,value
solidificar,endurar,1.0
solidificar,endurecer,1.0
solidificar,endurentar,1.0
solidificar,solidar,1.0
solidificar,enregelar,1.0
solidificar,gear,1.0
solidificar,gelar,1.0
solidificar,regelar,1.0
solidificar,solidar,1.0
solidificar,derreter,1.0
solidificar,descongelar,1.0
solidificar,desenregelhar,1.0
solidificar,desgelar,1.0
solidificar,solidar,1.0
solidificar,delir,1.0
solidificar,derreter,1.0
solidificar,dissolver,1.0
solidificar,fundir,1.0
solidificar,liquefazer,1.0
solidificar,liquescer,1.0
solidificar,liquidificar,1.0
solidificar,liqüidificar,1.0
solidificar,agrumular,1.0
solidificar,coagular,1.0
solidificar,coalhar,1.0
solidificar,congelar,1.0
solidificar,encaramelar,1.0
solidificar,regelar,1.0
solidificar,solidar,1.0
solidificar,liquescer,1.0
solidificar,liquidificar,1.0
solidificar,liqüidificar,1.0
