source,target,value
sopesar,ajuizar,1.0
sopesar,apreciar,1.0
sopesar,aquilatar,1.0
sopesar,avaliar,1.0
sopesar,bitolar,1.0
sopesar,conhecer,1.0
sopesar,considerar,1.0
sopesar,discernir,1.0
sopesar,enxergar,1.0
sopesar,examinar,1.0
sopesar,julgar,1.0
sopesar,medir,1.0
sopesar,ponderar,1.0
sopesar,quilatar,1.0
sopesar,tomar,1.0
sopesar,ver,1.0
sopesar,balancear,1.0
sopesar,compensar,1.0
sopesar,contrabalançar,1.0
sopesar,contrapesar,1.0
sopesar,encontrar,1.0
sopesar,equilibrar,1.0
sopesar,eqüiponderar,1.0
sopesar,librar,1.0
