source,target,value
sorrabar,adular,1.0
sorrabar,afagar,1.0
sorrabar,alisar,1.0
sorrabar,apajear,1.0
sorrabar,apaparicar,1.0
sorrabar,babujar,1.0
sorrabar,bajoujar,1.0
sorrabar,bajular,1.0
sorrabar,candongar,1.0
sorrabar,cariciar,1.0
sorrabar,chaleirar,1.0
sorrabar,cortejar,1.0
sorrabar,deslisar,1.0
sorrabar,engraxar,1.0
sorrabar,engrossar,1.0
sorrabar,incensar,1.0
sorrabar,lamber,1.0
sorrabar,lisonjear,1.0
sorrabar,louvaminhar,1.0
sorrabar,pajear,1.0
sorrabar,titilar,1.0
sorrabar,turibular,1.0
sorrabar,turiferar,1.0
sorrabar,xeretar,1.0
sorrabar,desdenhar,1.0
sorrabar,desfazer,1.0
sorrabar,desprezar,1.0
sorrabar,escarnecer,1.0
sorrabar,esfazer,1.0
sorrabar,humilhar,1.0
sorrabar,menospreçar,1.0
sorrabar,menosprezar,1.0
sorrabar,minguar,1.0
sorrabar,postergar,1.0
sorrabar,sobpor,1.0
sorrabar,tripudiar,1.0
sorrabar,zingrar,1.0
