source,target,value
sorumbático,aborrecido,1.0
sorumbático,amazorrado,1.0
sorumbático,atristurado,1.0
sorumbático,capiongo,1.0
sorumbático,casmurro,1.0
sorumbático,encaramujado,1.0
sorumbático,encorujado,1.0
sorumbático,jaruru,1.0
sorumbático,juruju,1.0
sorumbático,jururu,1.0
sorumbático,macambúzio,1.0
sorumbático,mazorro,1.0
sorumbático,melancólico,1.0
sorumbático,merencório,1.0
sorumbático,taciturno,1.0
sorumbático,triste,1.0
sorumbático,contente,1.0
sorumbático,feliz,1.0
sorumbático,deprimido,1.0
