source,target,value
subir,aumentar,1.0
subir,avantajar,1.0
subir,avultar,1.0
subir,crescer,1.0
subir,diminuir,1.0
subir,minuir,1.0
subir,avultar,1.0
subir,chegar,1.0
subir,montar,1.0
subir,cavalgar,1.0
subir,encavalar,1.0
subir,encavalgar,1.0
subir,montar,1.0
subir,apear-se,1.0
subir,desapear,1.0
subir,descavalgar,1.0
subir,descer,1.0
subir,desencavalgar,1.0
subir,desmontar,1.0
subir,aumentar,1.0
subir,avultar,1.0
subir,elevar,1.0
subir,encarecer,1.0
subir,majorar,1.0
subir,valorar,1.0
subir,abaratear,1.0
subir,abater,1.0
subir,arrefeçar,1.0
subir,avilar,1.0
subir,aviltar,1.0
subir,baratar,1.0
subir,baratear,1.0
subir,demonetizar,1.0
subir,depreciar,1.0
subir,desabonar,1.0
subir,desencarecer,1.0
subir,desvalorizar,1.0
subir,envilecer,1.0
subir,rebaixar,1.0
subir,regatear,1.0
subir,vilificar,1.0
