source,target,value
substanciar,alimentar,1.0
substanciar,criar,1.0
substanciar,nutrir,1.0
substanciar,sustentar,1.0
substanciar,suster,1.0
substanciar,acurtar,1.0
substanciar,cifrar,1.0
substanciar,compactar,1.0
substanciar,compendiar,1.0
substanciar,condensar,1.0
substanciar,conglobar,1.0
substanciar,encurtar,1.0
substanciar,epilogar,1.0
substanciar,epitomar,1.0
substanciar,extratar,1.0
substanciar,extremar,1.0
substanciar,laconizar,1.0
substanciar,recapitular,1.0
substanciar,recopilar,1.0
substanciar,reduzir,1.0
substanciar,resumir,1.0
substanciar,sintetizar,1.0
substanciar,sumariar,1.0
substanciar,ampliar,1.0
substanciar,desenvolver,1.0
substanciar,prolongar,1.0
substanciar,afortalezar,1.0
substanciar,arrijar,1.0
substanciar,avigorar,1.0
substanciar,desenervar,1.0
substanciar,desentibiar,1.0
substanciar,endurar,1.0
substanciar,endurecer,1.0
substanciar,endurentar,1.0
substanciar,enrijar,1.0
substanciar,enrijecer,1.0
substanciar,fortalecer,1.0
substanciar,fortificar,1.0
substanciar,oxigenar,1.0
substanciar,retemperar,1.0
substanciar,revigorar,1.0
substanciar,revitalizar,1.0
substanciar,roborar,1.0
substanciar,roborizar,1.0
substanciar,robustecer,1.0
substanciar,temperar,1.0
substanciar,tonificar,1.0
substanciar,vigorar,1.0
substanciar,vigorizar,1.0
substanciar,alquebrar,1.0
substanciar,aquebrantar,1.0
substanciar,cansar,1.0
substanciar,debilitar,1.0
substanciar,deprimir,1.0
substanciar,derrear,1.0
substanciar,desfortalecer,1.0
substanciar,desnervar,1.0
substanciar,desvigorar,1.0
substanciar,desvigorizar,1.0
substanciar,desvitalizar,1.0
substanciar,elanguescer,1.0
substanciar,enervar,1.0
substanciar,enfraquecer,1.0
substanciar,enfraquentar,1.0
substanciar,enlanguescer,1.0
substanciar,entibiar,1.0
substanciar,esgotar,1.0
substanciar,esmaecer,1.0
substanciar,extenuar,1.0
substanciar,languescer,1.0
substanciar,prostrar,1.0
substanciar,quebrantar,1.0
substanciar,sopitar,1.0
substanciar,soporizar,1.0
