source,target,value
suspender,deixar,1.0
suspender,descontinuar,1.0
suspender,interromper,1.0
suspender,parar,1.0
suspender,continuar,1.0
suspender,enveredar,1.0
suspender,ir,1.0
suspender,proceder,1.0
suspender,prosseguir,1.0
suspender,seguir,1.0
suspender,deixar,1.0
suspender,pospor,1.0
suspender,procrastinar,1.0
suspender,rolar,1.0
suspender,adiantar,1.0
suspender,antecipar,1.0
suspender,apressar,1.0
suspender,precipitar,1.0
suspender,prematurar,1.0
suspender,dependurar,1.0
suspender,pender,1.0
suspender,pendurar,1.0
suspender,despendurar,1.0
suspender,amparar,1.0
suspender,segurar,1.0
suspender,suster,1.0
suspender,ter,1.0
suspender,tomar,1.0
