source,target,value
sutilizar,evaporizar,1.0
sutilizar,subtilizar,1.0
sutilizar,vaporizar,1.0
sutilizar,volatilizar,1.0
sutilizar,volatizar,1.0
sutilizar,acurar,1.0
sutilizar,afiar,1.0
sutilizar,afinar,1.0
sutilizar,alambicar,1.0
sutilizar,amadurecer,1.0
sutilizar,aparar,1.0
sutilizar,aperfeiçoar,1.0
sutilizar,aprimorar,1.0
sutilizar,apurar,1.0
sutilizar,bolear,1.0
sutilizar,burilar,1.0
sutilizar,cinzelar,1.0
sutilizar,cizelar,1.0
sutilizar,consumar,1.0
sutilizar,crisolar,1.0
sutilizar,desbastar,1.0
sutilizar,desbastecer,1.0
sutilizar,desenvolver,1.0
sutilizar,esmerar,1.0
sutilizar,esmerilar,1.0
sutilizar,esmerilhar,1.0
sutilizar,estilizar,1.0
sutilizar,facetar,1.0
sutilizar,facetear,1.0
sutilizar,limar,1.0
sutilizar,madurar,1.0
sutilizar,madurecer,1.0
sutilizar,melhorar,1.0
sutilizar,perfeiçoar,1.0
sutilizar,polir,1.0
sutilizar,primorar,1.0
sutilizar,refinar,1.0
sutilizar,reformar,1.0
sutilizar,requintar,1.0
sutilizar,subtilizar,1.0
