source,target,value
tarear,aporrear,1.0
tarear,aporretar,1.0
tarear,bater,1.0
tarear,bumbar,1.0
tarear,coçar,1.0
tarear,delombar,1.0
tarear,derrear,1.0
tarear,derrengar,1.0
tarear,desancar,1.0
tarear,desasar,1.0
tarear,descadeirar,1.0
tarear,deslombar,1.0
tarear,desquadrilhar,1.0
tarear,encostar,1.0
tarear,esbordoar,1.0
tarear,escadeirar,1.0
tarear,escambichar,1.0
tarear,escovar,1.0
tarear,espancar,1.0
tarear,esquadrilhar,1.0
tarear,malhar,1.0
tarear,maltratar,1.0
tarear,marretar,1.0
tarear,rachar,1.0
tarear,sapecar,1.0
tarear,sovar,1.0
tarear,surrar,1.0
tarear,tosar,1.0
tarear,tundar,1.0
tarear,tungar,1.0
tarear,zabumbar,1.0
tarear,zupar,1.0
tarear,zurzir,1.0
