source,target,value
tarouco,abajoujado,1.0
tarouco,abananado,1.0
tarouco,abestalhado,1.0
tarouco,abobado,1.0
tarouco,abobalhado,1.0
tarouco,abobarrado,1.0
tarouco,aboleimado,1.0
tarouco,alvar,1.0
tarouco,apalermado,1.0
tarouco,aparvado,1.0
tarouco,aparvanhado,1.0
tarouco,aparvoado,1.0
tarouco,apatetado,1.0
tarouco,apombocado,1.0
tarouco,atolambado,1.0
tarouco,atoleimado,1.0
tarouco,atroado,1.0
tarouco,avoado,1.0
tarouco,hebetizado,1.0
tarouco,manzanza,1.0
tarouco,mazanza,1.0
tarouco,soronga,1.0
tarouco,sorongo,1.0
tarouco,tolo,1.0
