source,target,value
tecer,compor,1.0
tecer,delinear,1.0
tecer,escrever,1.0
tecer,fazer,1.0
tecer,modelar,1.0
tecer,traçar,1.0
tecer,tramar,1.0
tecer,desurdir,1.0
tecer,tremar,1.0
tecer,arquitetar,1.0
tecer,cabalar,1.0
tecer,conjurar,1.0
tecer,conspirar,1.0
tecer,cozinhar,1.0
tecer,fiar,1.0
tecer,maquinar,1.0
tecer,obrar,1.0
tecer,preparar,1.0
tecer,traçar,1.0
tecer,tramar,1.0
tecer,desurdir,1.0
tecer,tremar,1.0
tecer,adornar,1.0
tecer,aformosar,1.0
tecer,aformosear,1.0
tecer,aformosentar,1.0
tecer,ajaezar,1.0
tecer,alfaiar,1.0
tecer,amoldurar,1.0
tecer,aparamentar,1.0
tecer,aparatar,1.0
tecer,aparelhar,1.0
tecer,arrear,1.0
tecer,assazoar,1.0
tecer,assazonar,1.0
tecer,ataviar,1.0
tecer,colorar,1.0
tecer,colorear,1.0
tecer,colorir,1.0
tecer,colorizar,1.0
tecer,decorar,1.0
tecer,embelezar,1.0
tecer,embrincar,1.0
tecer,emoldar,1.0
tecer,emoldurar,1.0
tecer,enfeitar,1.0
tecer,enflorar,1.0
tecer,enflorear,1.0
tecer,engalanar,1.0
tecer,exornar,1.0
tecer,florear,1.0
tecer,floretear,1.0
tecer,formosear,1.0
tecer,formosentar,1.0
tecer,galantear,1.0
tecer,honestar,1.0
tecer,jaezar,1.0
tecer,moldurar,1.0
tecer,ornamentar,1.0
tecer,ornar,1.0
tecer,paramentar,1.0
tecer,recamar,1.0
tecer,revestir,1.0
tecer,sazonar,1.0
tecer,sobredoirar,1.0
tecer,sobredourar,1.0
tecer,afeiar,1.0
tecer,desadornar,1.0
tecer,desafeitar,1.0
tecer,desalinhar,1.0
tecer,desaparelhar,1.0
tecer,desataviar,1.0
tecer,descompor,1.0
tecer,desenfeitar,1.0
tecer,desfear,1.0
tecer,desguarnecer,1.0
tecer,desornar,1.0
tecer,destoucar,1.0
tecer,enfear,1.0
