source,target,value
temeroso,meticuloso,1.0
temeroso,pávido,1.0
temeroso,receoso,1.0
temeroso,tímido,1.0
temeroso,timorato,1.0
temeroso,espantoso,1.0
temeroso,formidando,1.0
temeroso,formidoloso,1.0
temeroso,hediondo,1.0
temeroso,horrendo,1.0
temeroso,hórrido,1.0
temeroso,horrífero,1.0
temeroso,horrífico,1.0
temeroso,horripilante,1.0
temeroso,horrípilo,1.0
temeroso,horrível,1.0
temeroso,horrorífico,1.0
temeroso,horroroso,1.0
temeroso,medonho,1.0
temeroso,pavoroso,1.0
temeroso,temerso,1.0
temeroso,tenebroso,1.0
temeroso,terrível,1.0
temeroso,tétrico,1.0
temeroso,tetro,1.0
temeroso,torvo,1.0
temeroso,tremendo,1.0
