source,target,value
trancada,trancar,1.0
trancada,chavear,1.0
trancada,fechar,1.0
trancada,desbarrar,1.0
trancada,desfechar,1.0
trancada,destrancar,1.0
trancada,aprear,1.0
trancada,aprisionar,1.0
trancada,cativar,1.0
trancada,dejungir,1.0
trancada,desjungir,1.0
trancada,disjungir,1.0
trancada,emprisionar,1.0
trancada,encadear,1.0
trancada,encarcerar,1.0
trancada,engaiolar,1.0
trancada,enjaular,1.0
trancada,ferrolhar,1.0
trancada,prear,1.0
trancada,prender,1.0
trancada,subjugar,1.0
trancada,trancafiar,1.0
trancada,abjungir,1.0
trancada,adjugar,1.0
trancada,descativar,1.0
trancada,libertar,1.0
trancada,soltar,1.0
trancada,ajaular,1.0
trancada,aprear,1.0
trancada,aprisionar,1.0
trancada,carcerar,1.0
trancada,cativar,1.0
trancada,clausurar,1.0
trancada,confinar,1.0
trancada,deter,1.0
trancada,emprisionar,1.0
trancada,encadear,1.0
trancada,encarcerar,1.0
trancada,encelar,1.0
trancada,encerrar,1.0
trancada,enclaustrar,1.0
trancada,enclausurar,1.0
trancada,enjaular,1.0
trancada,entaipar,1.0
trancada,ferrolhar,1.0
trancada,prear,1.0
trancada,prender,1.0
trancada,represar,1.0
trancada,subjugar,1.0
trancada,trancafiar,1.0
trancada,trancar,1.0
trancada,desencarcerar,1.0
trancada,desencerrar,1.0
trancada,desenclaustrar,1.0
trancada,excarcerar,1.0
trancada,libertar,1.0
