source,target,value
transcender,exceder,1.0
transcender,extrapassar,1.0
transcender,passar,1.0
transcender,sobreexceder,1.0
transcender,sobrelevar,1.0
transcender,sobrepujar,1.0
transcender,superar,1.0
transcender,transpassar,1.0
transcender,transpor,1.0
transcender,traspassar,1.0
transcender,trespassar,1.0
transcender,ultrapassar,1.0
transcender,vingar,1.0
transcender,brilhar,1.0
transcender,destacar-se,1.0
transcender,distinguir-se,1.0
transcender,eclodir,1.0
transcender,evidenciar-se,1.0
transcender,fulgir,1.0
transcender,fulgurar,1.0
transcender,galhardear,1.0
transcender,predominar,1.0
transcender,prelevar,1.0
transcender,primar,1.0
transcender,realçar,1.0
transcender,relevar-se,1.0
transcender,ressair,1.0
transcender,ressaltar,1.0
transcender,salientar-se,1.0
transcender,sobrelevar-se,1.0
transcender,sobrepujar,1.0
transcender,sobressair,1.0
transcender,sublimar-se,1.0
