source,target,value
transverter,metamorfosear,1.0
transverter,mudar,1.0
transverter,tornar,1.0
transverter,transfazer,1.0
transverter,transfigurar,1.0
transverter,transformar,1.0
transverter,transubstanciar,1.0
transverter,desarranjar,1.0
transverter,descompor,1.0
transverter,desordenar,1.0
transverter,disturbar,1.0
transverter,entortar,1.0
transverter,revirar,1.0
transverter,transtornar,1.0
transverter,tornar,1.0
transverter,traduzir,1.0
transverter,transladar,1.0
transverter,transplantar,1.0
transverter,transportar,1.0
transverter,trasladar,1.0
transverter,verter,1.0
