source,target,value
trapalhice,farrapagem,1.0
trapalhice,farraparia,1.0
trapalhice,fragalho,1.0
trapalhice,frangalho,1.0
trapalhice,trapagem,1.0
trapalhice,trapalhada,1.0
trapalhice,trapalhão,1.0
trapalhice,traparia,1.0
trapalhice,atarantação,1.0
trapalhice,atrapalhação,1.0
trapalhice,barafunda,1.0
trapalhice,baralhada,1.0
trapalhice,confusão,1.0
trapalhice,mistifório,1.0
trapalhice,pipoco,1.0
trapalhice,roldão,1.0
trapalhice,rolo,1.0
trapalhice,rondão,1.0
trapalhice,salada,1.0
trapalhice,salsada,1.0
trapalhice,sarrabulhada,1.0
trapalhice,trapalhada,1.0
trapalhice,lentamente,1.0
