source,target,value
traspassar,aguilhoar,1.0
traspassar,alancear,1.0
traspassar,apunhalar,1.0
traspassar,esfaquear,1.0
traspassar,estilar,1.0
traspassar,estiletear,1.0
traspassar,estocar,1.0
traspassar,estoquear,1.0
traspassar,ferir,1.0
traspassar,pungir,1.0
traspassar,transpassar,1.0
traspassar,trespassar,1.0
traspassar,ceder,1.0
traspassar,transferir,1.0
traspassar,transmudar,1.0
traspassar,transmutar,1.0
traspassar,transpassar,1.0
traspassar,trespassar,1.0
traspassar,exceder,1.0
traspassar,extrapassar,1.0
traspassar,passar,1.0
traspassar,sobreexceder,1.0
traspassar,sobrelevar,1.0
traspassar,sobrepujar,1.0
traspassar,superar,1.0
traspassar,transcender,1.0
traspassar,transpassar,1.0
traspassar,transpor,1.0
traspassar,trespassar,1.0
traspassar,ultrapassar,1.0
traspassar,vingar,1.0
traspassar,contravir,1.0
traspassar,desacatar,1.0
traspassar,desconjurar,1.0
traspassar,descumprir,1.0
traspassar,desobedecer,1.0
traspassar,desrespeitar,1.0
traspassar,infringir,1.0
traspassar,ofender,1.0
traspassar,postergar,1.0
traspassar,profanar,1.0
traspassar,quebrantar,1.0
traspassar,quebrar,1.0
traspassar,romper,1.0
traspassar,transgredir,1.0
traspassar,transpassar,1.0
traspassar,trespassar,1.0
traspassar,aceitar,1.0
traspassar,aguardar,1.0
traspassar,cumprir,1.0
traspassar,dessaudar,1.0
traspassar,escutar,1.0
traspassar,guardar,1.0
traspassar,manter,1.0
traspassar,obedecer,1.0
traspassar,observar,1.0
traspassar,resguardar,1.0
traspassar,respeitar,1.0
traspassar,seguir,1.0
traspassar,trilhar,1.0
