source,target,value
traspasso,traspassamento,1.0
traspasso,traspasse,1.0
traspasso,demora,1.0
traspasso,flegma,1.0
traspasso,fleuma,1.0
traspasso,lentidão,1.0
traspasso,morosidade,1.0
traspasso,pachorra,1.0
traspasso,preguiça,1.0
traspasso,traspassamento,1.0
traspasso,vagar,1.0
traspasso,desembaraço,1.0
traspasso,desenvoltura,1.0
traspasso,diligência,1.0
traspasso,ligeireza,1.0
traspasso,presteza,1.0
traspasso,prontidão,1.0
traspasso,rapidez,1.0
traspasso,falecimento,1.0
traspasso,finamento,1.0
traspasso,morte,1.0
traspasso,óbito,1.0
traspasso,passamento,1.0
traspasso,perda,1.0
traspasso,transe,1.0
traspasso,trânsito,1.0
traspasso,traspassamento,1.0
traspasso,traspasse,1.0
traspasso,nascimento,1.0
