source,target,value
trespassado,aguilhoar,1.0
trespassado,alancear,1.0
trespassado,apunhalar,1.0
trespassado,esfaquear,1.0
trespassado,estilar,1.0
trespassado,estiletear,1.0
trespassado,estocar,1.0
trespassado,estoquear,1.0
trespassado,ferir,1.0
trespassado,pungir,1.0
trespassado,transpassar,1.0
trespassado,traspassar,1.0
trespassado,trespassar,1.0
trespassado,enfiar,1.0
trespassado,espetar,1.0
trespassado,perfurar,1.0
trespassado,permear,1.0
trespassado,transfixar,1.0
trespassado,transpassar,1.0
trespassado,traspassar,1.0
trespassado,travessar,1.0
trespassado,trespassar,1.0
trespassado,varar,1.0
trespassado,ceder,1.0
trespassado,transferir,1.0
trespassado,transmudar,1.0
trespassado,transmutar,1.0
trespassado,transpassar,1.0
trespassado,traspassar,1.0
trespassado,trespassar,1.0
trespassado,exceder,1.0
trespassado,extrapassar,1.0
trespassado,passar,1.0
trespassado,sobreexceder,1.0
trespassado,sobrelevar,1.0
trespassado,sobrepujar,1.0
trespassado,superar,1.0
trespassado,transcender,1.0
trespassado,transpassar,1.0
trespassado,transpor,1.0
trespassado,traspassar,1.0
trespassado,trespassar,1.0
trespassado,ultrapassar,1.0
trespassado,vingar,1.0
