source,target,value
tétrico,espantoso,1.0
tétrico,formidando,1.0
tétrico,formidoloso,1.0
tétrico,hediondo,1.0
tétrico,horrendo,1.0
tétrico,hórrido,1.0
tétrico,horrífero,1.0
tétrico,horrífico,1.0
tétrico,horripilante,1.0
tétrico,horrípilo,1.0
tétrico,horrível,1.0
tétrico,horrorífico,1.0
tétrico,horroroso,1.0
tétrico,medonho,1.0
tétrico,pavoroso,1.0
tétrico,temeroso,1.0
tétrico,temerso,1.0
tétrico,tenebroso,1.0
tétrico,terrível,1.0
tétrico,tetro,1.0
tétrico,torvo,1.0
tétrico,tremendo,1.0
tétrico,cimério,1.0
tétrico,feral,1.0
tétrico,fúnebre,1.0
tétrico,funesto,1.0
tétrico,lôbrego,1.0
tétrico,lúgubre,1.0
tétrico,lutuoso,1.0
tétrico,macabro,1.0
tétrico,negro,1.0
tétrico,sombrio,1.0
tétrico,soturno,1.0
tétrico,triste,1.0
