source,target,value
vaidoso,afetado,1.0
vaidoso,afofado,1.0
vaidoso,alambicado,1.0
vaidoso,amaneirado,1.0
vaidoso,ancho,1.0
vaidoso,apavonado,1.0
vaidoso,arrebicado,1.0
vaidoso,convencido,1.0
vaidoso,enfatuado,1.0
vaidoso,fátuo,1.0
vaidoso,imodesto,1.0
vaidoso,jactancioso,1.0
vaidoso,jactante,1.0
vaidoso,jatancioso,1.0
vaidoso,jatante,1.0
vaidoso,pimpão,1.0
vaidoso,presumido,1.0
vaidoso,presunçoso,1.0
vaidoso,pretensioso,1.0
vaidoso,regateiro,1.0
vaidoso,despresumido,1.0
vaidoso,despresunçoso,1.0
vaidoso,despretensioso,1.0
vaidoso,natural,1.0
vaidoso,empertigado,1.0
vaidoso,enfunado,1.0
vaidoso,envaidecido,1.0
vaidoso,orgulhoso,1.0
