source,target,value
valorado,aumentar,1.0
valorado,avultar,1.0
valorado,elevar,1.0
valorado,encarecer,1.0
valorado,majorar,1.0
valorado,subir,1.0
valorado,valorar,1.0
valorado,abaratear,1.0
valorado,abater,1.0
valorado,arrefeçar,1.0
valorado,avilar,1.0
valorado,aviltar,1.0
valorado,baratar,1.0
valorado,baratear,1.0
valorado,demonetizar,1.0
valorado,depreciar,1.0
valorado,desabonar,1.0
valorado,desencarecer,1.0
valorado,desvalorizar,1.0
valorado,envilecer,1.0
valorado,rebaixar,1.0
valorado,regatear,1.0
valorado,vilificar,1.0
