source,target,value
vergalho,marau,1.0
vergalho,mariola,1.0
vergalho,maroto,1.0
vergalho,patife,1.0
vergalho,ribaldo,1.0
vergalho,traste,1.0
vergalho,tratante,1.0
vergalho,velhaco,1.0
vergalho,açoiteira,1.0
vergalho,açoute,1.0
vergalho,açouteira,1.0
vergalho,azorrague,1.0
vergalho,chicote,1.0
vergalho,flagelo,1.0
vergalho,látego,1.0
vergalho,muxinga,1.0
vergalho,peia,1.0
vergalho,preaca,1.0
vergalho,rebenque,1.0
vergalho,relho,1.0
vergalho,vergasta,1.0
vergalho,vergueiro,1.0
vergalho,zorrague,1.0
