source,target,value
violentar,desonestar,1.0
violentar,desonrar,1.0
violentar,estuprar,1.0
violentar,forçar,1.0
violentar,violar,1.0
violentar,desvirtuar,1.0
violentar,distorcer,1.0
violentar,envenenar,1.0
violentar,falsear,1.0
violentar,forçar,1.0
violentar,malsinar,1.0
violentar,torcer,1.0
violentar,arrombar,1.0
violentar,forçar,1.0
violentar,fraturar,1.0
violentar,quebrar,1.0
violentar,rebentar,1.0
violentar,romper,1.0
violentar,adstringir,1.0
violentar,algemar,1.0
violentar,amordaçar,1.0
violentar,apertar,1.0
violentar,asfixiar,1.0
violentar,cingir,1.0
violentar,coagir,1.0
violentar,coatar,1.0
violentar,compelir,1.0
violentar,constranger,1.0
violentar,contrafazer,1.0
violentar,dobrar,1.0
violentar,emordaçar,1.0
violentar,forçar,1.0
violentar,impelir,1.0
violentar,maniatar,1.0
violentar,manietar,1.0
violentar,obrigar,1.0
violentar,oprimir,1.0
violentar,prensar,1.0
violentar,pressionar,1.0
violentar,reduzir,1.0
violentar,reprimir,1.0
violentar,urgir,1.0
violentar,desafogar,1.0
violentar,desafrontar,1.0
violentar,desapertar,1.0
violentar,descarregar,1.0
violentar,desobrigar,1.0
violentar,desopressar,1.0
violentar,desoprimir,1.0
violentar,libertar,1.0
