source,target,value
voragem,báratro,1.0
voragem,sorvedoiro,1.0
voragem,sorvedouro,1.0
voragem,tragadoiro,1.0
voragem,tragadouro,1.0
voragem,vórtice,1.0
voragem,redemoinho,1.0
voragem,redomoinho,1.0
voragem,torvelim,1.0
voragem,torvelinho,1.0
voragem,torvelino,1.0
voragem,turbilhão,1.0
voragem,vórtice,1.0
voragem,redomoinho,1.0
voragem,remoinho,1.0
voragem,rodamoinho,1.0
voragem,rodomoinho,1.0
voragem,sorvedoiro,1.0
voragem,sorvedouro,1.0
voragem,tragadoiro,1.0
voragem,tragadouro,1.0
voragem,turbilhão,1.0
voragem,absorvedouro,1.0
voragem,sorvedoiro,1.0
voragem,sorvedouro,1.0
voragem,tragadoiro,1.0
voragem,tragadouro,1.0
