source,target,value
zangado,acirrado,1.0
zangado,agastado,1.0
zangado,aquecido,1.0
zangado,assanhado,1.0
zangado,assomado,1.0
zangado,azedado,1.0
zangado,bramoso,1.0
zangado,bravo,1.0
zangado,colérico,1.0
zangado,danado,1.0
zangado,embravecido,1.0
zangado,encanzinado,1.0
zangado,encolerizado,1.0
zangado,enfurecido,1.0
zangado,enfuriado,1.0
zangado,enraivado,1.0
zangado,enraivecido,1.0
zangado,enviperado,1.0
zangado,escabreado,1.0
zangado,espumante,1.0
zangado,estramontado,1.0
zangado,exacerbado,1.0
zangado,exasperado,1.0
zangado,furente,1.0
zangado,furibundo,1.0
zangado,furioso,1.0
zangado,iracundo,1.0
zangado,irado,1.0
zangado,irritado,1.0
zangado,rábido,1.0
zangado,rabioso,1.0
zangado,raivento,1.0
zangado,raivoso,1.0
zangado,sanhoso,1.0
zangado,sanhudo,1.0
zangado,abespinhado,1.0
zangado,abespinhável,1.0
zangado,agastadiço,1.0
zangado,anojadiço,1.0
zangado,árdego,1.0
zangado,argonaço,1.0
zangado,assanhadiço,1.0
zangado,assomadiço,1.0
zangado,assomado,1.0
zangado,atrabiliário,1.0
zangado,atrabilioso,1.0
zangado,azougado,1.0
zangado,cavaquista,1.0
zangado,colérico,1.0
zangado,fogoso,1.0
zangado,genioso,1.0
zangado,iracundo,1.0
zangado,irascível,1.0
zangado,iroso,1.0
zangado,irritadiço,1.0
zangado,irritável,1.0
zangado,raivento,1.0
zangado,raivudo,1.0
zangado,tomadiço,1.0
zangado,violento,1.0
zangado,zangadiço,1.0
