source,target,value
zorragar,açoutar,1.0
zorragar,alanhar,1.0
zorragar,atormentar,1.0
zorragar,azorraguear,1.0
zorragar,chibatar,1.0
zorragar,chibatear,1.0
zorragar,chicotar,1.0
zorragar,chicotear,1.0
zorragar,flagelar,1.0
zorragar,fustigar,1.0
zorragar,golpear,1.0
zorragar,lambar,1.0
zorragar,lapear,1.0
zorragar,pelotear,1.0
zorragar,surrar,1.0
zorragar,vapular,1.0
zorragar,varar,1.0
zorragar,verberar,1.0
zorragar,verdascar,1.0
zorragar,vergalhar,1.0
zorragar,vergastar,1.0
zorragar,zimbrar,1.0
zorragar,zurzir,1.0
