source,target,value
zurzir,aporrear,1.0
zurzir,aporretar,1.0
zurzir,bater,1.0
zurzir,bumbar,1.0
zurzir,coçar,1.0
zurzir,delombar,1.0
zurzir,derrear,1.0
zurzir,derrengar,1.0
zurzir,desancar,1.0
zurzir,desasar,1.0
zurzir,descadeirar,1.0
zurzir,deslombar,1.0
zurzir,desquadrilhar,1.0
zurzir,encostar,1.0
zurzir,esbordoar,1.0
zurzir,escadeirar,1.0
zurzir,escambichar,1.0
zurzir,escovar,1.0
zurzir,espancar,1.0
zurzir,esquadrilhar,1.0
zurzir,malhar,1.0
zurzir,maltratar,1.0
zurzir,marretar,1.0
zurzir,rachar,1.0
zurzir,sapecar,1.0
zurzir,sovar,1.0
zurzir,surrar,1.0
zurzir,tarear,1.0
zurzir,tosar,1.0
zurzir,tundar,1.0
zurzir,tungar,1.0
zurzir,zabumbar,1.0
zurzir,zupar,1.0
zurzir,açoutar,1.0
zurzir,alanhar,1.0
zurzir,atormentar,1.0
zurzir,azorragar,1.0
zurzir,azorraguear,1.0
zurzir,chibatar,1.0
zurzir,chibatear,1.0
zurzir,chicotar,1.0
zurzir,chicotear,1.0
zurzir,flagelar,1.0
zurzir,fustigar,1.0
zurzir,golpear,1.0
zurzir,lambar,1.0
zurzir,lapear,1.0
zurzir,pelotear,1.0
zurzir,surrar,1.0
zurzir,vapular,1.0
zurzir,varar,1.0
zurzir,verberar,1.0
zurzir,verdascar,1.0
zurzir,vergalhar,1.0
zurzir,vergastar,1.0
zurzir,zimbrar,1.0
zurzir,zorragar,1.0
zurzir,espancar,1.0
